ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
12160;qȝȝ.t / qȝ.t;Published the Jan 9, 2025 at 14:11;validated;;"https://app.vega-lexique.fr/api/files/58c36693-5f67-49a6-931d-e7df4404cfac.svg
https://app.vega-lexique.fr/api/files/dd16d791-70f1-49aa-a680-d552ed7d4154.svg";(a medicinal substance);(un produit officinal);18th dyn;;"Wb
V, 6, 1Grundriss 6
511-512";;;
12161;gmḥ.t;Published the Jan 23, 2025 at 16:42;validated;;"https://app.vega-lexique.fr/api/files/73ecae04-143b-4fa4-803f-9e6904641e0f.svg
https://app.vega-lexique.fr/api/files/8a42e870-9c2b-49ab-be09-89d4b041e11c.svg";barb (of the harpoon);barbillons (du harpon);Ptolemaic Dyn;;"Wilson, PL
1099";;;
12162;qȝȝ.t;Published the Jun 30, 2023 at 18:14;validated;;https://app.vega-lexique.fr/api/files/b6c6341d-c131-4f7a-b422-48aeddcb5ddb.svg;(meaning unknown);(sens inconnu);5th dyn;;"Wb
V, 6, 2Hannig, ÄWb I
1328 {33914}";"TLA (Lemma n°)
159090";;
12163;qȝȝ.t / qȝ.t / qȝn.t;Published the Jun 30, 2023 at 18:14;validated;;"https://app.vega-lexique.fr/api/files/835a1d4e-8887-4279-8461-1a4afd36822a.svg
https://app.vega-lexique.fr/api/files/4230ea64-0da4-4776-a18d-56569b537d72.svg";door-bolt;verrou;;;"Wb
V, 6 (qȝȝ.t) ; V, 12 (qȝn.t)Faulkner, CD
275 (qȝȝ.t)van der Molen, HDECT
645 (qȝȝ.t ; qȝ.t)Hannig, ÄWb I
1328 {33974} (qȝr.t, qȝȝ.t, qlj.t, qȝn.t, qnr)Hannig, ÄWb II
2508 {33974-33975} (qȝr.t, qȝȝ.t, qlj.t, qȝn.t, qnr)";"Borghouts, van der Plas, CTWI
287 (qȝȝ.t, qȝr.t)TLA (Lemma n°)
159100 (qȝȝ.t) ; 857555 (qȝ.t)";;
12164;šwby.t;Published the Sep 20, 2024 at 10:46;validated;;"https://app.vega-lexique.fr/api/files/f99ab824-d817-4176-a0eb-864657b3efdb.svg
https://app.vega-lexique.fr/api/files/202967d8-b6cf-4e34-855b-1835c5c18cd1.svg";shade;ombre;;;"Lesko, DLE2
II, 116";;;
12165;qȝj;Published the Jun 30, 2023 at 18:25;validated;;"https://app.vega-lexique.fr/api/files/fe2d2dfe-041b-4495-8f3b-bdd7559b8134.svg
https://app.vega-lexique.fr/api/files/018ce996-dafd-4bff-82fe-6df7cdc12379.svg";(a beverage);(une boisson);"3rd dyn
26th dyn";;"Wb
V, 6, 3 ; V, 17 (qjȝ)Hannig, ÄWb I
1328 {33916}Hannig, ÄWb II
2506 {33916}";"TLA (Lemma n°)
159120";;
12166;šȝbty / šwbty / šȝwȝbty;Published the Sep 19, 2024 at 11:21;validated;;"https://app.vega-lexique.fr/api/files/18058303-ea7a-43e6-8b3c-77424b3de295.svg
https://app.vega-lexique.fr/api/files/c9d4bdc8-6754-4c29-a130-835ea77b9f56.svg";"shabti, shawabti; funerary statuette";"chabti, chaouabti ; statuette funéraire";;;"Wb
IV, 409 (šȝwȝbtj) ; 410 (šȝbty) ; 435, 15-16 (šwbty) ; 442 (šbty)Faulkner, CD
261 (šȝbty),  263 (šwbty)Lesko, DLE2
II, 108 (šȝwȝbty)van der Molen, HDECT
602 (šȝbty.w)Hannig, ÄWb II
2435 {32477} (šwbtj) ";"Meeks, AnLex
77.4077 (šȝwȝbty) ; 77.4081 (šȝbty) ; 77.4131 (šwbtj) ; 79.2954 (šwbtj) Borghouts, van der Plas, CTWI
276 (šȝbty)LGG
VII, 44c-45a (šwbty)Wd (s. v.)
šȝwȝbty ; šȝb.t ; šȝbty ; šwbtj ; …šwbtj TLA (Lemma n°)
153120 (šwbty)";;
12167;šwbty;Published the Sep 20, 2024 at 10:46;validated;;"https://app.vega-lexique.fr/api/files/f1531f00-6bb1-47e4-b930-dd77f7a4eaab.svg
https://app.vega-lexique.fr/api/files/3bb661f6-ba98-4e12-8b83-a8c12e7bf737.svg";(a vessel);(un récipient);"19th dyn
20th dyn";;"Wb
IV, 436, 1 Faulkner, CD
263Lesko, DLE2
II, 116";"TLA (Lemma n°)
153130 ";;
12168;qȝjs;Published the Jun 30, 2023 at 18:39;validated;;https://app.vega-lexique.fr/api/files/ea1beb8a-079f-47b5-a021-af4451a2446c.svg;(a wooden object ?);(un objet en bois ?);;;;"Wd (s. v.)
qȝjs";;
12169;q(ȝ).yt;Published the Jan 9, 2025 at 15:47;problematic;;https://app.vega-lexique.fr/api/files/fc32124a-5192-494a-bc40-f44f355814b9.svg;to uphold;soutenir;19th dyn;;"Lesko, DLE2
II, 144";;;
